<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH-12.19,60,20191112,130000,59413.0000000,59620.0000000,59329.0000000,59335.0000000,1444
SPFB.LKOH-12.19,60,20191112,140000,59348.0000000,59515.0000000,59256.0000000,59511.0000000,1232
SPFB.LKOH-12.19,60,20191112,150000,59504.0000000,59598.0000000,59408.0000000,59513.0000000,774
SPFB.LKOH-12.19,60,20191112,160000,59513.0000000,59636.0000000,59464.0000000,59494.0000000,801
SPFB.LKOH-12.19,60,20191112,170000,59504.0000000,59506.0000000,59114.0000000,59114.0000000,1544
SPFB.LKOH-12.19,60,20191112,180000,59129.0000000,59145.0000000,58650.0000000,58920.0000000,3045
SPFB.LKOH-12.19,60,20191112,190000,58922.0000000,59054.0000000,58883.0000000,59040.0000000,796
SPFB.LKOH-12.19,60,20191112,200000,58900.0000000,59000.0000000,58734.0000000,58800.0000000,818
SPFB.LKOH-12.19,60,20191112,210000,58808.0000000,58808.0000000,58737.0000000,58774.0000000,91
SPFB.LKOH-12.19,60,20191112,220000,58786.0000000,58875.0000000,58735.0000000,58745.0000000,199
SPFB.LKOH-12.19,60,20191112,230000,58732.0000000,58829.0000000,58696.0000000,58712.0000000,198
SPFB.LKOH-12.19,60,20191113,000000,58729.0000000,58844.0000000,58715.0000000,58750.0000000,151
SPFB.LKOH-12.19,60,20191113,110000,58732.0000000,58928.0000000,58550.0000000,58793.0000000,2001
SPFB.LKOH-12.19,60,20191113,120000,58798.0000000,58970.0000000,58509.0000000,58810.0000000,1732
SPFB.LKOH-12.19,60,20191113,130000,58834.0000000,58913.0000000,58600.0000000,58755.0000000,1257
SPFB.LKOH-12.19,60,20191113,140000,58772.0000000,58927.0000000,58772.0000000,58809.0000000,972
SPFB.LKOH-12.19,60,20191113,150000,58809.0000000,59044.0000000,58802.0000000,58950.0000000,675
SPFB.LKOH-12.19,60,20191113,160000,58958.0000000,59053.0000000,58925.0000000,58996.0000000,533
SPFB.LKOH-12.19,60,20191113,170000,59006.0000000,59048.0000000,58864.0000000,58898.0000000,1009
SPFB.LKOH-12.19,60,20191113,180000,58910.0000000,59236.0000000,58814.0000000,59203.0000000,1569
SPFB.LKOH-12.19,60,20191113,190000,59213.0000000,59299.0000000,59140.0000000,59250.0000000,998
SPFB.LKOH-12.19,60,20191113,200000,59210.0000000,59478.0000000,59210.0000000,59369.0000000,903
SPFB.LKOH-12.19,60,20191113,210000,59396.0000000,59548.0000000,59371.0000000,59415.0000000,741
SPFB.LKOH-12.19,60,20191113,220000,59460.0000000,59529.0000000,59343.0000000,59394.0000000,345
SPFB.LKOH-12.19,60,20191113,230000,59355.0000000,59480.0000000,59315.0000000,59461.0000000,573
SPFB.LKOH-12.19,60,20191114,000000,59460.0000000,59584.0000000,59450.0000000,59501.0000000,139
SPFB.LKOH-12.19,60,20191114,110000,59469.0000000,59650.0000000,59320.0000000,59615.0000000,2732
SPFB.LKOH-12.19,60,20191114,120000,59620.0000000,60190.0000000,59540.0000000,60040.0000000,5177
SPFB.LKOH-12.19,60,20191114,130000,60030.0000000,60186.0000000,59869.0000000,59905.0000000,3517
SPFB.LKOH-12.19,60,20191114,140000,59920.0000000,60182.0000000,59907.0000000,60152.0000000,1613
SPFB.LKOH-12.19,60,20191114,150000,60158.0000000,60370.0000000,59926.0000000,60061.0000000,3466
SPFB.LKOH-12.19,60,20191114,160000,60075.0000000,60075.0000000,59666.0000000,59691.0000000,1949
SPFB.LKOH-12.19,60,20191114,170000,59691.0000000,59776.0000000,59576.0000000,59616.0000000,1803
SPFB.LKOH-12.19,60,20191114,180000,59602.0000000,59635.0000000,58794.0000000,59354.0000000,5866
SPFB.LKOH-12.19,60,20191114,190000,59361.0000000,59531.0000000,59291.0000000,59437.0000000,2988
SPFB.LKOH-12.19,60,20191114,200000,59299.0000000,59507.0000000,59261.0000000,59297.0000000,584
SPFB.LKOH-12.19,60,20191114,210000,59265.0000000,59429.0000000,59252.0000000,59429.0000000,267
SPFB.LKOH-12.19,60,20191114,220000,59429.0000000,59429.0000000,59300.0000000,59300.0000000,152
SPFB.LKOH-12.19,60,20191114,230000,59329.0000000,59378.0000000,59296.0000000,59298.0000000,70
SPFB.LKOH-12.19,60,20191115,000000,59297.0000000,59375.0000000,59240.0000000,59330.0000000,241
SPFB.LKOH-12.19,60,20191115,110000,59350.0000000,60340.0000000,59350.0000000,59973.0000000,6938
SPFB.LKOH-12.19,60,20191115,120000,59970.0000000,59990.0000000,59500.0000000,59578.0000000,5253
SPFB.LKOH-12.19,60,20191115,130000,59582.0000000,59830.0000000,59446.0000000,59687.0000000,1238
SPFB.LKOH-12.19,60,20191115,140000,59728.0000000,59732.0000000,59577.0000000,59666.0000000,861
SPFB.LKOH-12.19,60,20191115,150000,59672.0000000,59691.0000000,59572.0000000,59616.0000000,639
SPFB.LKOH-12.19,60,20191115,160000,59642.0000000,59642.0000000,59470.0000000,59489.0000000,1109
SPFB.LKOH-12.19,60,20191115,170000,59481.0000000,59796.0000000,59481.0000000,59667.0000000,988
SPFB.LKOH-12.19,60,20191115,180000,59646.0000000,60064.0000000,59638.0000000,59925.0000000,2359
SPFB.LKOH-12.19,60,20191115,190000,59918.0000000,60439.0000000,59918.0000000,60301.0000000,3178
SPFB.LKOH-12.19,60,20191115,200000,60450.0000000,60624.0000000,60380.0000000,60501.0000000,1142
SPFB.LKOH-12.19,60,20191115,210000,60502.0000000,60596.0000000,60502.0000000,60590.0000000,166
SPFB.LKOH-12.19,60,20191115,220000,60595.0000000,60860.0000000,60567.0000000,60578.0000000,761
SPFB.LKOH-12.19,60,20191115,230000,60593.0000000,60730.0000000,60570.0000000,60706.0000000,371
SPFB.LKOH-12.19,60,20191116,000000,60680.0000000,60750.0000000,60632.0000000,60700.0000000,531
SPFB.LKOH-12.19,60,20191118,110000,60671.0000000,60700.0000000,60205.0000000,60250.0000000,4107
SPFB.LKOH-12.19,60,20191118,120000,60274.0000000,60314.0000000,59900.0000000,59960.0000000,4195
SPFB.LKOH-12.19,60,20191118,130000,59974.0000000,60145.0000000,59866.0000000,60071.0000000,1687
SPFB.LKOH-12.19,60,20191118,140000,60060.0000000,60085.0000000,59601.0000000,59664.0000000,2834
SPFB.LKOH-12.19,60,20191118,150000,59667.0000000,59816.0000000,59491.0000000,59810.0000000,1874
SPFB.LKOH-12.19,60,20191118,160000,59814.0000000,60021.0000000,59789.0000000,59955.0000000,1250
SPFB.LKOH-12.19,60,20191118,170000,59977.0000000,59983.0000000,59551.0000000,59674.0000000,2804
SPFB.LKOH-12.19,60,20191118,180000,59667.0000000,59689.0000000,59374.0000000,59436.0000000,2020
SPFB.LKOH-12.19,60,20191118,190000,59440.0000000,59590.0000000,59380.0000000,59444.0000000,1172
SPFB.LKOH-12.19,60,20191118,200000,59505.0000000,59540.0000000,59375.0000000,59443.0000000,390
SPFB.LKOH-12.19,60,20191118,210000,59442.0000000,59452.0000000,59410.0000000,59450.0000000,74
SPFB.LKOH-12.19,60,20191118,220000,59422.0000000,59454.0000000,59377.0000000,59454.0000000,78
SPFB.LKOH-12.19,60,20191118,230000,59431.0000000,59743.0000000,59431.0000000,59618.0000000,542
SPFB.LKOH-12.19,60,20191119,000000,59621.0000000,59715.0000000,59548.0000000,59591.0000000,234
SPFB.LKOH-12.19,60,20191119,110000,59640.0000000,60047.0000000,59581.0000000,59983.0000000,2619
SPFB.LKOH-12.19,60,20191119,120000,59946.0000000,60005.0000000,59493.0000000,59548.0000000,1294
SPFB.LKOH-12.19,60,20191119,130000,59534.0000000,59843.0000000,59510.0000000,59704.0000000,1342
SPFB.LKOH-12.19,60,20191119,140000,59700.0000000,59740.0000000,59607.0000000,59637.0000000,278
SPFB.LKOH-12.19,60,20191119,150000,59648.0000000,59748.0000000,59551.0000000,59572.0000000,437
SPFB.LKOH-12.19,60,20191119,160000,59609.0000000,59712.0000000,59609.0000000,59638.0000000,345
SPFB.LKOH-12.19,60,20191119,170000,59630.0000000,59690.0000000,59551.0000000,59629.0000000,692
SPFB.LKOH-12.19,60,20191119,180000,59646.0000000,59646.0000000,59400.0000000,59436.0000000,1234
SPFB.LKOH-12.19,60,20191119,190000,59461.0000000,59661.0000000,59422.0000000,59623.0000000,746
