<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.ROSN-12.19,60,20191108,170000,45835.0000000,46054.0000000,45820.0000000,45886.0000000,500
SPFB.ROSN-12.19,60,20191108,180000,45884.0000000,45884.0000000,45770.0000000,45785.0000000,407
SPFB.ROSN-12.19,60,20191108,190000,45785.0000000,45870.0000000,45700.0000000,45830.0000000,448
SPFB.ROSN-12.19,60,20191108,200000,45807.0000000,45922.0000000,45807.0000000,45907.0000000,105
SPFB.ROSN-12.19,60,20191108,210000,45909.0000000,46025.0000000,45909.0000000,45980.0000000,56
SPFB.ROSN-12.19,60,20191108,220000,45959.0000000,45971.0000000,45908.0000000,45938.0000000,23
SPFB.ROSN-12.19,60,20191108,230000,45901.0000000,45927.0000000,45901.0000000,45909.0000000,9
SPFB.ROSN-12.19,60,20191109,000000,45903.0000000,45950.0000000,45747.0000000,45814.0000000,99
SPFB.ROSN-12.19,60,20191111,110000,45753.0000000,45753.0000000,45261.0000000,45422.0000000,647
SPFB.ROSN-12.19,60,20191111,120000,45384.0000000,45461.0000000,45291.0000000,45410.0000000,735
SPFB.ROSN-12.19,60,20191111,130000,45379.0000000,45401.0000000,45162.0000000,45220.0000000,919
SPFB.ROSN-12.19,60,20191111,140000,45220.0000000,45262.0000000,44969.0000000,45215.0000000,951
SPFB.ROSN-12.19,60,20191111,150000,45248.0000000,45425.0000000,45243.0000000,45366.0000000,295
SPFB.ROSN-12.19,60,20191111,160000,45361.0000000,45429.0000000,45288.0000000,45288.0000000,255
SPFB.ROSN-12.19,60,20191111,170000,45298.0000000,45457.0000000,45293.0000000,45433.0000000,455
SPFB.ROSN-12.19,60,20191111,180000,45419.0000000,45596.0000000,45350.0000000,45541.0000000,272
SPFB.ROSN-12.19,60,20191111,190000,45541.0000000,45614.0000000,45388.0000000,45460.0000000,566
SPFB.ROSN-12.19,60,20191111,200000,45460.0000000,45542.0000000,45426.0000000,45431.0000000,120
SPFB.ROSN-12.19,60,20191111,210000,45448.0000000,45568.0000000,45446.0000000,45568.0000000,29
SPFB.ROSN-12.19,60,20191111,220000,45540.0000000,45594.0000000,45540.0000000,45594.0000000,18
SPFB.ROSN-12.19,60,20191111,230000,45580.0000000,45588.0000000,45529.0000000,45549.0000000,139
SPFB.ROSN-12.19,60,20191112,000000,45578.0000000,45586.0000000,45542.0000000,45550.0000000,91
SPFB.ROSN-12.19,60,20191112,110000,45588.0000000,46343.0000000,45588.0000000,46301.0000000,1032
SPFB.ROSN-12.19,60,20191112,120000,46301.0000000,46311.0000000,46144.0000000,46242.0000000,771
SPFB.ROSN-12.19,60,20191112,130000,46280.0000000,46775.0000000,46191.0000000,46590.0000000,1231
SPFB.ROSN-12.19,60,20191112,140000,46591.0000000,46685.0000000,46420.0000000,46648.0000000,431
SPFB.ROSN-12.19,60,20191112,150000,46653.0000000,46711.0000000,46592.0000000,46608.0000000,472
SPFB.ROSN-12.19,60,20191112,160000,46618.0000000,47122.0000000,46588.0000000,47030.0000000,2911
SPFB.ROSN-12.19,60,20191112,170000,47041.0000000,47218.0000000,46864.0000000,46908.0000000,1821
SPFB.ROSN-12.19,60,20191112,180000,46908.0000000,46908.0000000,46280.0000000,46366.0000000,1551
SPFB.ROSN-12.19,60,20191112,190000,46361.0000000,46468.0000000,46295.0000000,46422.0000000,459
SPFB.ROSN-12.19,60,20191112,200000,46382.0000000,46382.0000000,46094.0000000,46130.0000000,394
SPFB.ROSN-12.19,60,20191112,210000,46105.0000000,46134.0000000,46050.0000000,46062.0000000,190
SPFB.ROSN-12.19,60,20191112,220000,46130.0000000,46163.0000000,46122.0000000,46134.0000000,46
SPFB.ROSN-12.19,60,20191112,230000,46150.0000000,46160.0000000,46095.0000000,46100.0000000,34
SPFB.ROSN-12.19,60,20191113,000000,46129.0000000,46129.0000000,46062.0000000,46118.0000000,73
SPFB.ROSN-12.19,60,20191113,110000,46051.0000000,46292.0000000,45814.0000000,46149.0000000,1552
SPFB.ROSN-12.19,60,20191113,120000,46149.0000000,46282.0000000,45990.0000000,46243.0000000,726
SPFB.ROSN-12.19,60,20191113,130000,46234.0000000,46272.0000000,46101.0000000,46175.0000000,327
SPFB.ROSN-12.19,60,20191113,140000,46180.0000000,46250.0000000,46048.0000000,46050.0000000,264
