<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.GOLD-12.19,60,20191109,000000,1465.9000000,1466.2000000,1463.3000000,1463.9000000,2313
SPFB.GOLD-12.19,60,20191111,110000,1464.3000000,1469.8000000,1464.3000000,1469.1000000,11870
SPFB.GOLD-12.19,60,20191111,120000,1469.1000000,1470.3000000,1466.8000000,1469.3000000,6222
SPFB.GOLD-12.19,60,20191111,130000,1469.1000000,1470.3000000,1468.5000000,1469.9000000,3459
SPFB.GOLD-12.19,60,20191111,140000,1469.9000000,1471.0000000,1469.5000000,1469.9000000,2461
SPFB.GOLD-12.19,60,20191111,150000,1469.8000000,1469.8000000,1468.0000000,1468.5000000,3237
SPFB.GOLD-12.19,60,20191111,160000,1468.7000000,1469.2000000,1466.0000000,1466.5000000,4196
SPFB.GOLD-12.19,60,20191111,170000,1466.3000000,1467.2000000,1463.8000000,1465.2000000,5186
SPFB.GOLD-12.19,60,20191111,180000,1464.8000000,1467.3000000,1463.6000000,1463.7000000,9061
SPFB.GOLD-12.19,60,20191111,190000,1463.7000000,1463.7000000,1454.6000000,1456.0000000,25630
SPFB.GOLD-12.19,60,20191111,200000,1454.8000000,1460.2000000,1452.5000000,1458.8000000,13165
SPFB.GOLD-12.19,60,20191111,210000,1458.7000000,1460.5000000,1458.6000000,1459.6000000,3414
SPFB.GOLD-12.19,60,20191111,220000,1459.7000000,1461.7000000,1459.5000000,1460.7000000,3690
SPFB.GOLD-12.19,60,20191111,230000,1460.7000000,1461.5000000,1459.8000000,1460.1000000,1529
SPFB.GOLD-12.19,60,20191112,000000,1460.3000000,1461.0000000,1458.9000000,1459.4000000,3503
SPFB.GOLD-12.19,60,20191112,110000,1458.8000000,1458.8000000,1454.2000000,1456.6000000,16662
SPFB.GOLD-12.19,60,20191112,120000,1456.5000000,1457.5000000,1453.6000000,1457.1000000,13082
SPFB.GOLD-12.19,60,20191112,130000,1457.0000000,1459.9000000,1456.5000000,1459.8000000,6565
SPFB.GOLD-12.19,60,20191112,140000,1459.5000000,1459.8000000,1457.6000000,1458.1000000,4215
SPFB.GOLD-12.19,60,20191112,150000,1458.1000000,1458.3000000,1455.0000000,1456.7000000,4720
SPFB.GOLD-12.19,60,20191112,160000,1456.7000000,1458.5000000,1456.4000000,1458.0000000,3830
SPFB.GOLD-12.19,60,20191112,170000,1457.8000000,1458.6000000,1454.0000000,1458.2000000,10352
SPFB.GOLD-12.19,60,20191112,180000,1458.4000000,1459.5000000,1455.6000000,1455.8000000,8641
SPFB.GOLD-12.19,60,20191112,190000,1455.7000000,1457.9000000,1449.7000000,1450.5000000,17075
SPFB.GOLD-12.19,60,20191112,200000,1454.8000000,1459.3000000,1454.1000000,1457.7000000,11530
SPFB.GOLD-12.19,60,20191112,210000,1457.6000000,1459.4000000,1455.7000000,1458.0000000,6856
SPFB.GOLD-12.19,60,20191112,220000,1457.8000000,1460.4000000,1456.6000000,1457.1000000,5542
SPFB.GOLD-12.19,60,20191112,230000,1457.5000000,1464.5000000,1457.5000000,1463.5000000,7340
SPFB.GOLD-12.19,60,20191113,000000,1463.3000000,1463.7000000,1461.4000000,1462.9000000,3842
SPFB.GOLD-12.19,60,20191113,110000,1464.1000000,1467.2000000,1464.1000000,1464.5000000,9648
SPFB.GOLD-12.19,60,20191113,120000,1464.5000000,1465.0000000,1461.5000000,1464.9000000,6952
SPFB.GOLD-12.19,60,20191113,130000,1465.0000000,1470.6000000,1464.7000000,1469.6000000,12083
SPFB.GOLD-12.19,60,20191113,140000,1469.6000000,1469.7000000,1467.1000000,1467.3000000,8529
SPFB.GOLD-12.19,60,20191113,150000,1467.8000000,1470.0000000,1467.3000000,1468.7000000,4414
