<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.19,60,20191107,220000,148060.0000000,148100.0000000,147940.0000000,148050.0000000,6895
SPFB.RTS-12.19,60,20191107,230000,148040.0000000,148180.0000000,147670.0000000,147810.0000000,14279
SPFB.RTS-12.19,60,20191108,000000,147800.0000000,147890.0000000,147520.0000000,147880.0000000,7365
SPFB.RTS-12.19,60,20191108,110000,147790.0000000,147860.0000000,146820.0000000,147030.0000000,56434
SPFB.RTS-12.19,60,20191108,120000,147040.0000000,147300.0000000,146560.0000000,146610.0000000,43100
SPFB.RTS-12.19,60,20191108,130000,146610.0000000,146760.0000000,146370.0000000,146520.0000000,30086
SPFB.RTS-12.19,60,20191108,140000,146530.0000000,146650.0000000,146090.0000000,146230.0000000,28219
SPFB.RTS-12.19,60,20191108,150000,146250.0000000,146380.0000000,146160.0000000,146260.0000000,16311
SPFB.RTS-12.19,60,20191108,160000,146270.0000000,146470.0000000,145900.0000000,146050.0000000,25141
SPFB.RTS-12.19,60,20191108,170000,146050.0000000,146700.0000000,146030.0000000,146180.0000000,35479
SPFB.RTS-12.19,60,20191108,180000,146190.0000000,146250.0000000,145480.0000000,145540.0000000,49508
SPFB.RTS-12.19,60,20191108,190000,145530.0000000,146480.0000000,145150.0000000,146470.0000000,56241
SPFB.RTS-12.19,60,20191108,200000,146510.0000000,146580.0000000,146160.0000000,146470.0000000,16783
SPFB.RTS-12.19,60,20191108,210000,146490.0000000,146650.0000000,146420.0000000,146530.0000000,9194
SPFB.RTS-12.19,60,20191108,220000,146530.0000000,146620.0000000,146360.0000000,146430.0000000,4260
SPFB.RTS-12.19,60,20191108,230000,146450.0000000,146550.0000000,146430.0000000,146500.0000000,3054
SPFB.RTS-12.19,60,20191109,000000,146510.0000000,146680.0000000,146500.0000000,146620.0000000,3958
SPFB.RTS-12.19,60,20191111,110000,146600.0000000,146600.0000000,145220.0000000,145560.0000000,48401
SPFB.RTS-12.19,60,20191111,120000,145580.0000000,146170.0000000,145450.0000000,145860.0000000,32890
SPFB.RTS-12.19,60,20191111,130000,145870.0000000,145980.0000000,145520.0000000,145840.0000000,22235
SPFB.RTS-12.19,60,20191111,140000,145840.0000000,145840.0000000,145050.0000000,145260.0000000,30628
SPFB.RTS-12.19,60,20191111,150000,145240.0000000,145530.0000000,145110.0000000,145210.0000000,19598
SPFB.RTS-12.19,60,20191111,160000,145210.0000000,145360.0000000,145160.0000000,145270.0000000,13958
SPFB.RTS-12.19,60,20191111,170000,145280.0000000,145600.0000000,145240.0000000,145530.0000000,16365
SPFB.RTS-12.19,60,20191111,180000,145540.0000000,145830.0000000,145130.0000000,145770.0000000,34901
SPFB.RTS-12.19,60,20191111,190000,145760.0000000,145920.0000000,145430.0000000,145490.0000000,18785
SPFB.RTS-12.19,60,20191111,200000,145570.0000000,145680.0000000,145030.0000000,145230.0000000,13808
SPFB.RTS-12.19,60,20191111,210000,145250.0000000,145530.0000000,145180.0000000,145480.0000000,6189
SPFB.RTS-12.19,60,20191111,220000,145490.0000000,145740.0000000,145460.0000000,145720.0000000,5589
SPFB.RTS-12.19,60,20191111,230000,145720.0000000,145730.0000000,145470.0000000,145550.0000000,4498
SPFB.RTS-12.19,60,20191112,000000,145560.0000000,145690.0000000,145450.0000000,145460.0000000,3468
SPFB.RTS-12.19,60,20191112,110000,145550.0000000,146660.0000000,145550.0000000,146560.0000000,50083
SPFB.RTS-12.19,60,20191112,120000,146560.0000000,146760.0000000,146040.0000000,146070.0000000,40005
SPFB.RTS-12.19,60,20191112,130000,146070.0000000,146240.0000000,145700.0000000,145820.0000000,33770
SPFB.RTS-12.19,60,20191112,140000,145830.0000000,146070.0000000,145640.0000000,145980.0000000,27772
SPFB.RTS-12.19,60,20191112,150000,145970.0000000,146150.0000000,145790.0000000,145830.0000000,14878
SPFB.RTS-12.19,60,20191112,160000,145840.0000000,146160.0000000,145770.0000000,145830.0000000,17944
SPFB.RTS-12.19,60,20191112,170000,145830.0000000,145880.0000000,144800.0000000,144940.0000000,50075
SPFB.RTS-12.19,60,20191112,180000,144940.0000000,145230.0000000,144270.0000000,144690.0000000,59455
SPFB.RTS-12.19,60,20191112,190000,144710.0000000,144780.0000000,144270.0000000,144380.0000000,28579
SPFB.RTS-12.19,60,20191112,200000,144440.0000000,144440.0000000,143430.0000000,143620.0000000,36135
SPFB.RTS-12.19,60,20191112,210000,143610.0000000,143930.0000000,143440.0000000,143860.0000000,13178
SPFB.RTS-12.19,60,20191112,220000,143860.0000000,144210.0000000,143760.0000000,143800.0000000,15826
SPFB.RTS-12.19,60,20191112,230000,143790.0000000,143840.0000000,143600.0000000,143710.0000000,7844
SPFB.RTS-12.19,60,20191113,000000,143740.0000000,143830.0000000,143540.0000000,143710.0000000,5769
SPFB.RTS-12.19,60,20191113,110000,143700.0000000,143860.0000000,143110.0000000,143640.0000000,57711
SPFB.RTS-12.19,60,20191113,120000,143630.0000000,143920.0000000,143220.0000000,143240.0000000,48036
SPFB.RTS-12.19,60,20191113,130000,143240.0000000,143320.0000000,142660.0000000,142780.0000000,49789
SPFB.RTS-12.19,60,20191113,140000,142780.0000000,143050.0000000,142760.0000000,142900.0000000,18082
SPFB.RTS-12.19,60,20191113,150000,142910.0000000,143140.0000000,142730.0000000,142950.0000000,22059
SPFB.RTS-12.19,60,20191113,160000,142950.0000000,143330.0000000,142940.0000000,143120.0000000,25772
SPFB.RTS-12.19,60,20191113,170000,143120.0000000,143200.0000000,142840.0000000,142980.0000000,21073
SPFB.RTS-12.19,60,20191113,180000,142980.0000000,143520.0000000,142630.0000000,143280.0000000,52261
SPFB.RTS-12.19,60,20191113,190000,143280.0000000,143650.0000000,143230.0000000,143260.0000000,30477
SPFB.RTS-12.19,60,20191113,200000,143370.0000000,143520.0000000,143100.0000000,143390.0000000,12390
SPFB.RTS-12.19,60,20191113,210000,143400.0000000,143820.0000000,143380.0000000,143600.0000000,13279
SPFB.RTS-12.19,60,20191113,220000,143610.0000000,143760.0000000,143270.0000000,143320.0000000,8976
SPFB.RTS-12.19,60,20191113,230000,143310.0000000,143410.0000000,143070.0000000,143360.0000000,11428
SPFB.RTS-12.19,60,20191114,000000,143390.0000000,143580.0000000,143310.0000000,143390.0000000,5234
SPFB.RTS-12.19,60,20191114,110000,143470.0000000,144050.0000000,142930.0000000,143770.0000000,59569
SPFB.RTS-12.19,60,20191114,120000,143790.0000000,144280.0000000,143440.0000000,144080.0000000,56691
SPFB.RTS-12.19,60,20191114,130000,144070.0000000,144210.0000000,143880.0000000,144100.0000000,23289
SPFB.RTS-12.19,60,20191114,140000,144100.0000000,144500.0000000,144020.0000000,144240.0000000,26410
SPFB.RTS-12.19,60,20191114,150000,144240.0000000,144340.0000000,143600.0000000,143710.0000000,23721
SPFB.RTS-12.19,60,20191114,160000,143710.0000000,143850.0000000,143110.0000000,143150.0000000,30719
SPFB.RTS-12.19,60,20191114,170000,143150.0000000,143280.0000000,142630.0000000,142690.0000000,44144
SPFB.RTS-12.19,60,20191114,180000,142690.0000000,143140.0000000,142100.0000000,143000.0000000,69420
SPFB.RTS-12.19,60,20191114,190000,143000.0000000,143650.0000000,142970.0000000,143220.0000000,46365
SPFB.RTS-12.19,60,20191114,200000,143100.0000000,143250.0000000,142430.0000000,142600.0000000,23185
SPFB.RTS-12.19,60,20191114,210000,142620.0000000,143000.0000000,142560.0000000,143000.0000000,9521
SPFB.RTS-12.19,60,20191114,220000,143000.0000000,143000.0000000,142620.0000000,142750.0000000,6249
SPFB.RTS-12.19,60,20191114,230000,142750.0000000,143000.0000000,142710.0000000,142860.0000000,4390
SPFB.RTS-12.19,60,20191115,000000,142860.0000000,143350.0000000,142820.0000000,143230.0000000,5680
SPFB.RTS-12.19,60,20191115,110000,143350.0000000,144460.0000000,143290.0000000,143590.0000000,61452
SPFB.RTS-12.19,60,20191115,120000,143600.0000000,144000.0000000,143110.0000000,143790.0000000,65502
SPFB.RTS-12.19,60,20191115,130000,143790.0000000,144040.0000000,143440.0000000,143960.0000000,29694
SPFB.RTS-12.19,60,20191115,140000,143960.0000000,144090.0000000,143320.0000000,143440.0000000,31348
SPFB.RTS-12.19,60,20191115,150000,143430.0000000,143760.0000000,143280.0000000,143740.0000000,14734
SPFB.RTS-12.19,60,20191115,160000,143750.0000000,144000.0000000,143650.0000000,143790.0000000,16874
SPFB.RTS-12.19,60,20191115,170000,143800.0000000,144260.0000000,143660.0000000,144050.0000000,24278
SPFB.RTS-12.19,60,20191115,180000,144060.0000000,144400.0000000,143870.0000000,143930.0000000,37318
SPFB.RTS-12.19,60,20191115,190000,143920.0000000,144850.0000000,143900.0000000,144780.0000000,36405
SPFB.RTS-12.19,60,20191115,200000,144830.0000000,145450.0000000,144730.0000000,145210.0000000,26208
SPFB.RTS-12.19,60,20191115,210000,145200.0000000,145340.0000000,145060.0000000,145270.0000000,6331
SPFB.RTS-12.19,60,20191115,220000,145260.0000000,145290.0000000,145150.0000000,145240.0000000,3456
SPFB.RTS-12.19,60,20191115,230000,145240.0000000,145340.0000000,145130.0000000,145230.0000000,3673
SPFB.RTS-12.19,60,20191116,000000,145220.0000000,145250.0000000,145090.0000000,145180.0000000,3921
SPFB.RTS-12.19,60,20191118,110000,145210.0000000,145820.0000000,144840.0000000,144940.0000000,54025
SPFB.RTS-12.19,60,20191118,120000,144940.0000000,145240.0000000,144600.0000000,144680.0000000,37909
SPFB.RTS-12.19,60,20191118,130000,144680.0000000,144850.0000000,144510.0000000,144700.0000000,19917
SPFB.RTS-12.19,60,20191118,140000,144700.0000000,144720.0000000,143880.0000000,143980.0000000,31966
SPFB.RTS-12.19,60,20191118,150000,143960.0000000,144120.0000000,143670.0000000,144120.0000000,23005
SPFB.RTS-12.19,60,20191118,160000,144120.0000000,144390.0000000,144030.0000000,144290.0000000,20094
SPFB.RTS-12.19,60,20191118,170000,144290.0000000,144300.0000000,143110.0000000,143540.0000000,51978
SPFB.RTS-12.19,60,20191118,180000,143550.0000000,143740.0000000,143110.0000000,143560.0000000,35485
SPFB.RTS-12.19,60,20191118,190000,143560.0000000,143990.0000000,143510.0000000,143820.0000000,25037
SPFB.RTS-12.19,60,20191118,200000,143910.0000000,144160.0000000,143790.0000000,143960.0000000,19906
SPFB.RTS-12.19,60,20191118,210000,143950.0000000,143990.0000000,143820.0000000,143950.0000000,3778
SPFB.RTS-12.19,60,20191118,220000,143940.0000000,144020.0000000,143860.0000000,144020.0000000,3590
SPFB.RTS-12.19,60,20191118,230000,144010.0000000,144430.0000000,143930.0000000,144370.0000000,11425
SPFB.RTS-12.19,60,20191119,000000,144380.0000000,144400.0000000,144090.0000000,144240.0000000,5207
SPFB.RTS-12.19,60,20191119,110000,144250.0000000,144780.0000000,143750.0000000,144400.0000000,61057
SPFB.RTS-12.19,60,20191119,120000,144410.0000000,145210.0000000,144210.0000000,144870.0000000,56394
SPFB.RTS-12.19,60,20191119,130000,144860.0000000,145190.0000000,144530.0000000,145060.0000000,40220
SPFB.RTS-12.19,60,20191119,140000,145060.0000000,145080.0000000,144680.0000000,144870.0000000,19171
SPFB.RTS-12.19,60,20191119,150000,144860.0000000,144880.0000000,144360.0000000,144590.0000000,28883
SPFB.RTS-12.19,60,20191119,160000,144580.0000000,144810.0000000,144510.0000000,144520.0000000,18149
SPFB.RTS-12.19,60,20191119,170000,144520.0000000,144900.0000000,144410.0000000,144590.0000000,20430
SPFB.RTS-12.19,60,20191119,180000,144610.0000000,144690.0000000,143840.0000000,144000.0000000,40875
SPFB.RTS-12.19,60,20191119,190000,143990.0000000,144520.0000000,143860.0000000,144510.0000000,31309
SPFB.RTS-12.19,60,20191119,200000,144290.0000000,145320.0000000,144230.0000000,144830.0000000,35345
SPFB.RTS-12.19,60,20191119,210000,144840.0000000,144850.0000000,144510.0000000,144550.0000000,9779
SPFB.RTS-12.19,60,20191119,220000,144540.0000000,144650.0000000,144200.0000000,144260.0000000,10440
SPFB.RTS-12.19,60,20191119,230000,144250.0000000,144590.0000000,144250.0000000,144380.0000000,6933
SPFB.RTS-12.19,60,20191120,000000,144370.0000000,144540.0000000,144340.0000000,144390.0000000,4888
SPFB.RTS-12.19,60,20191120,110000,144360.0000000,144360.0000000,143140.0000000,143300.0000000,58933
SPFB.RTS-12.19,60,20191120,120000,143300.0000000,143300.0000000,142710.0000000,143150.0000000,62137
SPFB.RTS-12.19,60,20191120,130000,143140.0000000,144890.0000000,143040.0000000,144550.0000000,87472
SPFB.RTS-12.19,60,20191120,140000,144550.0000000,144590.0000000,144220.0000000,144550.0000000,23436
